Player,Group,DavisPerspective,WattsSelf,WattsOthers,WattsWorld,WattsTotal,Duration,Manual,Emerged
A1.1,A_1,3.142857142857143,80.0,39.16666666666666,63.57142857142857,60.91269841269841,76.5,0,1
A1.2,A_1,3.571428571428572,50.0,26.5,48.0,41.5,76.5,0,1
A1.4,A_1,3.4285714285714284,54.16666666666666,79.16666666666667,50.0,61.11111111111112,76.5,0,1
A1.5,A_1,4.142857142857143,53.333333333333336,70.0,82.85714285714286,68.73015873015873,76.5,0,1
A1.6,A_1,3.4285714285714284,99.0,62.5,0.4285714285714285,53.97619047619048,76.5,0,1
A1.7,A_1,3.2857142857142856,36.66666666666666,83.33333333333333,24.285714285714285,48.095238095238095,76.5,0,1
A1.8,A_1,2.857142857142857,22.5,60.833333333333336,16.428571428571427,33.25396825396826,76.5,0,1
A1.9,A_1,2.7857142857142856,45.0,88.33333333333333,17.142857142857142,50.15873015873015,76.5,0,1
A1.10,A_1,2.857142857142857,22.83333333333333,80.0,10.0,37.61111111111111,76.5,0,1
A2.1,A_2,3.0,80.0,83.33333333333333,50.0,71.1111111111111,243.16666666666666,1,0
A2.2,A_2,3.0,16.666666666666668,78.33333333333333,51.42857142857143,48.80952380952382,243.16666666666666,1,0
A2.3,A_2,3.0,3.333333333333333,67.83333333333333,1.8571428571428568,24.34126984126984,243.16666666666666,1,0
A2.4,A_2,2.857142857142857,26.666666666666668,82.5,54.285714285714285,54.48412698412699,243.16666666666666,1,0
A2.5,A_2,2.857142857142857,69.16666666666667,69.16666666666667,66.42857142857143,68.25396825396825,243.16666666666666,1,0
A2.6,A_2,4.0,26.666666666666668,61.66666666666666,50.0,46.11111111111111,243.16666666666666,1,0
A2.7,A_2,3.571428571428572,40.0,65.0,52.85714285714285,52.61904761904762,243.16666666666666,1,0
A2.8,A_2,3.857142857142857,23.33333333333333,53.333333333333336,22.857142857142858,33.17460317460318,243.16666666666666,1,0
A2.9,A_2,3.2857142857142856,78.33333333333333,40.0,47.142857142857146,55.15873015873016,243.16666666666666,1,0
A2.10,A_2,3.2857142857142856,65.83333333333333,25.0,38.57142857142857,43.13492063492063,243.16666666666666,1,0
A3.1,A_3,2.2857142857142856,55.0,98.33333333333331,37.142857142857146,63.49206349206349,47.916666666666664,0,1
A3.2,A_3,3.857142857142857,41.66666666666666,85.83333333333333,25.0,50.833333333333336,47.916666666666664,0,1
A3.4,A_3,3.7142857142857135,38.333333333333336,93.33333333333331,40.0,57.22222222222222,47.916666666666664,0,1
A3.5,A_3,2.4285714285714284,45.0,80.0,30.0,51.66666666666666,47.916666666666664,0,1
A3.6,A_3,3.142857142857143,57.16666666666666,81.83333333333333,24.0,54.333333333333336,47.916666666666664,0,1
A4.1,A_4,3.4285714285714284,65.0,48.333333333333336,74.28571428571429,62.53968253968255,66.16666666666667,0,1
A4.3,A_4,3.4285714285714284,60.0,63.333333333333336,62.85714285714285,62.06349206349207,66.16666666666667,0,1
A4.4,A_4,3.2857142857142856,33.333333333333336,65.0,0.0,32.77777777777778,66.16666666666667,0,1
A4.5,A_4,3.142857142857143,55.0,60.0,54.285714285714285,56.42857142857142,66.16666666666667,0,1
A4.6,A_4,2.857142857142857,6.666666666666667,86.66666666666667,21.428571428571427,38.25396825396826,66.16666666666667,0,1
A4.7,A_4,3.571428571428572,46.66666666666666,53.5,1.0,33.72222222222222,66.16666666666667,0,1
A4.8,A_4,2.857142857142857,50.833333333333336,75.83333333333333,34.285714285714285,53.650793650793645,66.16666666666667,0,1
A5.1,A_5,3.4285714285714284,43.333333333333336,68.33333333333333,38.57142857142857,50.07936507936508,183.66666666666666,1,0
A5.2,A_5,3.0,50.0,86.66666666666667,17.142857142857142,51.26984126984127,183.66666666666666,1,0
A5.3,A_5,2.571428571428572,55.0,75.0,44.285714285714285,58.095238095238095,183.66666666666666,1,0
